序号,大头照,姓名,性别,品种,出生日期（推算）,绝育情况,疫苗信息,状态,性格,亲属关系,平时游玩区域,生活照1,生活照2,生活照3,,,,
1, ,呆呆,公,,,已绝育,,已领养,"亲人、很乖、可以抱可以摸、SISU男明星
伸爪子看心情（⚠️有抓人记录）",,操场附近, , , ,,,,
2, ,花花,母,,,已绝育, ,正常,亲人、活泼、聪明、爱吃肉、为了炫饭叫声凄惨。会猎杀小鸟。听得懂人话，为了猫粮可以在原地等待，但吃完就跑路像个渣男,,生活区5号楼周边, , , ,,,,
3, ,小橘,公,,,已绝育, ,正常,帅气、优雅、亲人、亲保安、最爱肉肉和罐头，看着体格很大，其实很怂经常被欺负,,教学区2号楼附近, ,,,,,,
4, ,小雷子,母,,,已绝育,2022/9/16,已领养,亲人、自来熟、爱舔人,,教学区南门,,,,,,,
5, ,自行车,不详,,,未绝育,,正常,胆小,摩托的弟弟,图书馆附近,,,,,,,
6, ,摩托,公,,,未绝育,,正常,看起来成熟稳重,自行车的哥哥,图书馆附近,,,,,,,
7, ,皮皮,母,,,已绝育,2022/9/16,正常,特别亲人、爱贴贴、爱顶饭盆、啃衣角、淘气小包一个、吃饭来得超积极、不喜欢被抱起来有点抗拒,,教学区五号楼, ,,,,,,
8, ,大头,公,,,未绝育,,回喵星,头很大、不理人、溜得快、壮壮的,,图书馆附近,,,,,,,
9, ,小黑,公,,,未绝育,,正常,不让摸、护食、会伸爪子,,教学区三号楼,,,,,,,
10, ,橙子,母,,,未绝育,,正常,怕人、不能靠近,,教学区五号楼,,,,,,,
11, ,阿狸,不详,,,未绝育,,正常,怕人、头很小 标准狸花倒三角头,,教学区五号楼,,,,,,,
12, ,嘟嘟,公,,,已绝育,2022/9/16,正常,超级亲人超级乖巧 可以亲亲抱抱举高高  温润君子,,教学区五号楼, ,,,,,, 
13, ,三毛,母,,,已绝育,2022/9/16,正常,"可以抱抱 有一丁点胆小 
偶尔警惕 刷下巴可以解锁平时少见的呢喃声嘤嘤嘤",,教学区五号楼, , ,,,,,
14, ,嘟妈,母,,,未绝育,,正常,"爱蹭蹭但不给摸摸 
看起来很娇小温和","嘟嘟和三毛的妈妈
",教学区五号楼,,,,,,,
15, ,大橘,公,,,未绝育,,失踪,愁眉苦脸 、先天下之忧而忧、吃饭来得积极但诱捕时警惕性高,,教学区三号楼,,,,,,,
16, ,围脖、美琪、咪咪,母,,,已绝育,,正常,"不怕人也不亲人 
喜欢独处",,教工之家附近, , ,,,,,
17, ,miu miu,母,,,已绝育,,正常,"简州猫 非常胆小，怕人
",大黑的养女,图书馆门口,,,,,,,
18, ,大黑,公,,,未绝育,,失踪,老实巴交,,图书馆门口,,,,,,,
19, ,吨吨,公,,,已绝育,2022/10/9,已领养,非常亲人、爱爬树、爱蹭蹭、长尾巴,小雷子的好朋友,二号楼、纪念品店附近,,,,,,,
20, ,西门子,公,,,未绝育,,失踪,可以rua，特别乖。常驻西门保安室,,教学区西门保安室,,,,,,,
21, ,小小黑,不详,,,未绝育,2022/10/9,正常,胆小，年纪很小。,,教学区5号楼, ,,,,,,
22, ,咪咪（阮星星）,母,,,已绝育,,正常,社宠、亲人、喜欢贴贴、喜欢往人身上爬、喜欢用鼻尖蹭人、超好撸！有伤人前科,,外教社, , ,,,,,
23, ,美人,母,,,已绝育,,正常,嗓音很有特点，猫界张柏芝,,外教社, ,,,,,,
24, ,锅盖,母,,,已绝育,,正常,怕人、但又跟着你要吃的,,三号楼与操场附近, ,,,,,,
25, ,小白猫/大白,公,,,未绝育,,回喵星,跟大黑一起养了个女儿，温馨的组合家庭😌,,图书馆附近, ,,,,,,
26, ,笑笑，甜妹,母,,,已绝育,,失踪,非常活泼亲人，喜欢和人贴贴,,操场靠近大连西路侧, , ,,,,,
27, ,跳跳,母,,,已绝育,,回喵星,比较胆小，不太喜欢和人接触，和笑笑关系好,,操场靠近大连西路侧, ,,,,,,
28, ,雀巢🪺/咖啡,母,,,已绝育,,回喵星,雀猫，胆小，凶，吃猫条得挤到地上才吃，会抓人,,生活区六号楼附近,,,,,,,
33, ,拉拉,公,,,已绝育,,正常,"活泼亲人，喜欢跳人身上、去宿舍玩 
因去宿舍拉了两次而得名，有猫德不伸爪",,生活区出没不定, , ,,,,,
29, ,四郎,公,,,未绝育,,正常,胆小怕人，有气场,,生活区六号楼附近,,,,,,,
30, ,胖墩儿,不详,,,未绝育,,正常,爱蹭人，可爱,,生活区出没不定,,,,,,,
31, ,鹰鹰,公,,,已绝育,,正常,"
亲人可爱，脾气好，长得温顺，摸凹猫",,二号楼、纪念品店附近, , , ,,,,
32,,公主,公,,,已绝育,,回喵星,胆小怕人，长毛橘，貌美,,操场入口附近, , ,,,,,
34, ,哑哑,母,,,已绝育,,正常,"自来熟，喜欢跳人身上，可以摸，容易生气，叫声沙哑 
常驻二号楼阶梯教室",,2号楼内, , , ,,,,
35, ,脏脏包/包包,母,,,已绝育,,正常,怕人，拉拉的老婆 疑似雀猫的孩子,,生活区内, , ,,,,,
36, ,耙耙柑/果果,公,,,已绝育, ,正常,常驻操场小屋 又爱蹭又胆小 也是摸凹猫,,操场小屋, , ,,,,,
37, ,卡姿兰/卡卡,母,,,未绝育,,失踪,"可爱漂亮的三花 经常和呆呆小橘一起 
像紫菜肉松面包 胆小怕人 会伸爪子",,二号楼、纪念品店附近, , , ,,,,
38, ,火箭,母,,,已绝育,,失踪,生了很多崽，绝育后胖胖了,,二号楼操场附近, ,,,,,,
39, ,黄杨树/小云,母,,,已绝育,,正常,操场小屋附近，不亲人,,操场小屋附近, , ,,,,,
40, ,小简,公,,,已绝育,,正常,车队附近，健壮，不太亲人，但是挺会撒娇的,,操场小屋附近, ,,,,,,
41, ,黑米,母,,,已绝育,,正常,蝙蝠面具 奶牛猫,,生活区和包包啦啦一起, ,,,,,,
42, ,点点,母,,,已绝育,,失踪,左右对称两颗痣，奶牛猫,,操场小屋,,,,,,,
